index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
274,Germany,21,Ilkay GUENDOGAN,24.10.1990,MF,Manchester City (ENG),9,65,4046,7.222222222222222,449.55555555555554
275,Germany,22,Marc-Andre TER STEGEN,30.04.1992,GK,FC Barcelona (ESP),0,0,0,0,0
276,Germany,23,Mario GOMEZ,10.07.1985,FW,VfB Stuttgart (GER),6,68,5644,11.333333333333334,940.6666666666666
277,Iceland,1,Hannes HALLDORSSON,27.04.1984,GK,Randers FC (DEN),0,0,0,0,0
278,Iceland,2,Birkir SAEVARSSON,11.11.1984,DF,Valur (ISL),11,71,6307,6.454545454545454,573.3636363636364
279,Iceland,3,Samuel FRIDJONSSON,22.02.1996,MF,Vålerenga Fotball (NOR),1,36,2271,36.0,2271.0
280,Iceland,4,Albert GUDMUNDSSON,15.06.1997,MF,PSV (NED),16,61,4160,3.8125,260.0
281,Iceland,5,Sverrir INGASON,05.08.1993,DF,FK Rostov (RUS),2,70,6130,35.0,3065.0
282,Iceland,6,Ragnar SIGURDSSON,19.06.1986,DF,FK Rostov (RUS),1,43,3508,43.0,3508.0
283,Iceland,7,Johann GUDMUNDSSON,27.10.1990,MF,Burnley (ENG),11,62,4344,5.636363636363637,394.90909090909093
284,Iceland,8,Birkir BJARNASON,27.05.1988,MF,Aston Villa (ENG),5,57,3196,11.4,639.2
285,Iceland,9,Bjorn SIGURDARSON,26.02.1991,FW,FK Rostov (RUS),4,47,3982,11.75,995.5
286,Iceland,10,Gylfi SIGURDSSON,08.09.1989,MF,Everton (ENG),18,73,6191,4.055555555555555,343.94444444444446
287,Iceland,11,Alfred FINNBOGASON,01.02.1989,FW,FC Augsburg (GER),4,37,3117,9.25,779.25
288,Iceland,12,Frederik SCHRAM,19.01.1995,GK,Roskilde BK (DEN),0,0,0,0,0
289,Iceland,13,Runar RUNARSSON,18.02.1995,GK,FC Nordsjælland (DEN),0,0,0,0,0
290,Iceland,14,Kari ARNASON,13.10.1982,DF,Aberdeen (SCO),1,57,4526,57.0,4526.0
291,Iceland,15,Holmar EYJOLFSSON,06.08.1990,DF,Levski Sofia (BUL),3,82,7187,27.333333333333332,2395.6666666666665
292,Iceland,16,Olafur SKULASON,01.04.1983,MF,Karabukspor (TUR),0,43,2956,0,0
293,Iceland,17,Aron GUNNARSSON,22.04.1989,MF,Cardiff City (WAL),4,61,5213,15.25,1303.25
294,Iceland,18,Hordur MAGNUSSON,11.02.1993,DF,Bristol City (ENG),1,61,4595,61.0,4595.0
295,Iceland,19,Rurik GISLASON,25.02.1988,MF,ortverein Sandhausen 1916 e.V. (GER),1,38,1944,38.0,1944.0
296,Iceland,20,Emil HALLFREDSSON,29.06.1984,MF,Udinese (ITA),4,50,2939,12.5,734.75
297,Iceland,21,Arnor TRAUSTASON,30.04.1993,MF,Malmö FF (SWE),9,58,3618,6.444444444444445,402.0
298,Iceland,22,Jon BODVARSSON,25.05.1992,FW,Reading (ENG),6,84,4435,14.0,739.1666666666666
299,Iceland,23,Ari SKULASON,14.05.1987,DF,Lokeren (BEL),8,67,5809,8.375,726.125
300,Iran,1,Ali BEIRANVAND,21.09.1992,GK,Persepolis Football Club (IRN),0,0,0,0,0
301,Iran,2,Mehdi TORABI,10.09.1994,MF,Saipa (IRN),11,49,4103,4.454545454545454,373.0
302,Iran,3,Ehsan HAJI SAFI,25.02.1990,DF,Olympiacos (GRE),13,56,4967,4.3076923076923075,382.0769230769231
