index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
416,Nigeria,2,Bryan IDOWU,18.05.1992,DF,FK Amkar Perm (RUS),1,60,5350,60.0,5350.0
417,Nigeria,3,Elderson ECHIEJILE,20.01.1988,DF,Cercle Brugge (BEL),1,25,1817,25.0,1817.0
418,Nigeria,4,Onyinye NDIDI,16.12.1996,MF,Leicester (ENG),5,95,8371,19.0,1674.2
419,Nigeria,5,William EKONG,01.09.1993,DF,Bursaspor (TUR),2,67,5734,33.5,2867.0
420,Nigeria,6,Leon BALOGUN,28.06.1988,DF,Mainz 05 (GER),0,36,2515,0,0
421,Nigeria,7,Ahmed MUSA,14.10.1992,FW,CSKA Moskva (RUS),6,55,3338,9.166666666666666,556.3333333333334
422,Nigeria,8,Oghenekaro ETEBO,09.11.1995,MF,Las Palmas (ESP),5,62,5291,12.4,1058.2
423,Nigeria,9,Odion IGHALO,16.06.1989,FW,Changchun Yatai (CHN),8,58,4848,7.25,606.0
424,Nigeria,10,John Obi MIKEL,22.04.1987,MF,Tianjin Teda (CHN),3,24,2160,8.0,720.0
425,Nigeria,11,Victor MOSES,12.12.1990,FW,Chelsea (ENG),8,78,6083,9.75,760.375
426,Nigeria,12,Abdullahi SHEHU,12.03.1993,DF,Bursaspor (TUR),2,62,5103,31.0,2551.5
427,Nigeria,13,Simeon NWANKWO,07.05.1992,FW,Crotone FC (ITA),1,46,1830,46.0,1830.0
428,Nigeria,14,Kelechi IHEANACHO,10.03.1996,FW,Leicester (ENG),7,59,2350,8.428571428571429,335.7142857142857
429,Nigeria,15,Joel OBI,22.05.1991,MF,Torino (ITA),5,48,2251,9.6,450.2
430,Nigeria,16,Daniel AKPEYI,08.03.1986,GK,Chippa United FC (RSA),0,0,0,0,0
431,Nigeria,17,Ogenyi ONAZI,25.12.1992,MF,Trabzonspor (TUR),3,61,4305,20.333333333333332,1435.0
432,Nigeria,18,Alex IWOBI,03.05.1996,FW,Arsenal (ENG),15,78,4999,5.2,333.26666666666665
433,Nigeria,19,John OGU,20.04.1988,MF,Hapoel Beer Sheva (ISR),4,75,6444,18.75,1611.0
434,Nigeria,20,Chidozie AWAZIEM,01.01.1997,DF,Nantes (FRA),2,58,4586,29.0,2293.0
435,Nigeria,21,Tyronne EBUEHI,16.12.1995,DF,ADO Den Haag (NED),3,63,5380,21.0,1793.3333333333333
436,Nigeria,22,Kenneth OMERUO,17.10.1993,DF,Kasimpasa SK (TUR),0,54,4644,0,0
437,Nigeria,23,Francis UZOHO,28.10.1998,GK,Deportivo La Coruña (ESP),0,0,0,0,0
438,Panama,1,Jaime PENEDO,26.09.1981,GK,Dinamo Bucuresti (ROU),0,0,0,0,0
439,Panama,2,Michael MURILLO,11.02.1996,DF,New York (USA),2,37,3042,18.5,1521.0
440,Panama,3,Harold CUMMINGS,01.03.1992,DF,San Jose Earthquakes (USA),0,19,1634,0,0
441,Panama,4,Fidel ESCOBAR,09.01.1995,DF,New York (USA),1,27,2122,27.0,2122.0
442,Panama,5,Roman TORRES,20.03.1986,DF,Seattle Sounders Football Club (USA),2,47,3871,23.5,1935.5
443,Panama,6,Gabriel GOMEZ,29.05.1984,MF,Bucaramanga (COL),0,4,263,0,0
444,Panama,7,Blas PEREZ,13.03.1981,FW,Municipal (GUA),2,27,916,13.5,458.0
445,Panama,8,Edgar BARCENAS,23.10.1993,MF,útbol Cafetaleros de Tapachula (MEX),1,17,1211,17.0,1211.0
446,Panama,9,Gabriel TORRES,31.10.1988,FW,Huachipato (CHI),8,64,3923,8.0,490.375
447,Panama,10,Ismael DIAZ,12.05.1997,FW,Deportivo La Coruña (ESP),0,33,1494,0,0
448,Panama,11,Armando COOPER,26.11.1987,MF,Universidad de Chile (CHI),3,39,1939,13.0,646.3333333333334
449,Panama,12,Jose CALDERON,14.08.1985,GK,Chorrillo (PAN),0,0,0,0,0
450,Panama,13,Adolfo MACHADO,14.02.1985,DF,Houston Dynamo (USA),2,78,6980,39.0,3490.0
451,Panama,14,Valentin PIMENTEL,30.05.1991,MF,Plaza Amador (PAN),0,9,645,0,0
452,Panama,15,Eric DAVIS,31.03.1991,DF,DAC Dunajska Streda (SVK),9,50,4211,5.555555555555555,467.8888888888889
453,Panama,16,Abdiel ARROYO,13.12.1993,FW,Alajuelense (CRC),4,32,1908,8.0,477.0
454,Panama,17,Luis OVALLE,07.09.1988,DF,Olimpia (HON),0,31,2785,0,0
455,Panama,18,Luis TEJADA,28.03.1982,FW,Sport Boys Association (PER),7,65,5248,9.285714285714286,749.7142857142857
456,Panama,19,Alberto QUINTERO,18.12.1987,MF,Universitario (PER),9,53,4179,5.888888888888889,464.3333333333333
457,Panama,20,Anibal GODOY,10.02.1990,MF,San Jose Earthquakes (USA),2,63,5334,31.5,2667.0
459,Panama,22,Alex RODRIGUEZ,05.08.1990,GK,San Francisco (PAN),0,0,0,0,0
460,Panama,23,Felipe BALOY,24.02.1981,DF,Municipal (GUA),0,0,0,0,0
461,Peru,1,Pedro GALLESE,23.02.1990,GK,Veracruz (MEX),0,0,0,0,0
462,Peru,2,Alberto RODRIGUEZ,31.03.1984,DF,Junior (COL),0,42,3663,0,0
463,Peru,3,Aldo CORZO,20.05.1989,DF,Universitario (PER),7,63,5604,9.0,800.5714285714286
464,Peru,4,Anderson SANTAMARIA,10.01.1992,DF,MEX (MEX),2,75,6003,37.5,3001.5
465,Peru,5,Miguel ARAUJO,24.10.1994,DF,Alianza Lima (PER),2,63,5404,31.5,2702.0
466,Peru,6,Miguel TRAUCO,25.08.1992,DF,Flamengo (BRA),16,79,6748,4.9375,421.75
467,Peru,7,Paolo HURTADO,27.07.1990,MF,Guimaraes (POR),10,73,5002,7.3,500.2
468,Peru,8,Christian CUEVA,23.11.1991,MF,São Paulo (BRA),13,64,4787,4.923076923076923,368.2307692307692
469,Peru,9,Paolo GUERRERO,01.01.1984,FW,Flamengo (BRA),8,53,4419,6.625,552.375
470,Peru,10,Jefferson FARFAN,26.10.1984,FW,Lokomotiv Moskva (RUS),7,43,3329,6.142857142857143,475.57142857142856
471,Peru,11,Raul RUIDIAZ,25.07.1990,FW,Monarcas Morelia (MEX),5,75,6181,15.0,1236.2
472,Peru,12,Carlos CACEDA,27.09.1991,GK,lub Centro Deportivo Municipal (PER),0,0,0,0,0
473,Peru,13,Renato TAPIA,28.07.1995,MF,Feyenoord (NED),0,46,3313,0,0
474,Peru,14,Andy POLO,29.09.1994,MF,Portland Timbers (USA),6,67,5079,11.166666666666666,846.5
475,Peru,15,Christian RAMOS,04.11.1988,DF,Veracruz (MEX),2,59,4899,29.5,2449.5
476,Peru,16,Wilder CARTAGENA,23.09.1994,MF,Veracruz (MEX),4,77,6067,19.25,1516.75
477,Peru,17,Luis ADVINCULA,02.03.1990,DF,Universidad Autónoma de Puebla (MEX),3,54,4228,18.0,1409.3333333333333
478,Peru,18,Andre CARRILLO,14.06.1991,FW,Watford (ENG),5,62,2912,12.4,582.4
479,Peru,19,Yoshimar YOTUN,07.04.1990,MF,Orlando City SC (USA),21,61,4808,2.9047619047619047,228.95238095238096
480,Peru,20,Edison FLORES,14.05.1994,FW,AaB (DEN),17,76,5711,4.470588235294118,335.94117647058823
481,Peru,21,Jose CARVALLO,01.03.1986,GK,iversidad Técnica de Cajamarca (PER),0,0,0,0,0
482,Peru,22,Nilson LOYOLA,26.10.1994,DF,Foot Ball Club Melgar (PER),9,81,6843,9.0,760.3333333333334
483,Peru,23,Pedro AQUINO,13.04.1995,MF,Universidad Autónoma de Puebla (MEX),8,85,6372,10.625,796.5
484,Poland,1,Wojciech SZCZESNY,18.04.1990,GK,Juventus (ITA),0,0,0,0,0
485,Poland,2,Michal PAZDAN,21.09.1987,DF,Legia Warszawa (POL),0,76,6738,0,0
486,Poland,3,Artur JEDRZEJCZYK,04.11.1987,DF,Legia Warszawa (POL),5,68,5830,13.6,1166.0
487,Poland,4,Thiago CIONEK,21.04.1986,DF,ITA (ITA),0,63,5249,0,0
488,Poland,5,Jan BEDNAREK,12.04.1996,DF,Southampton (ENG),2,49,4258,24.5,2129.0
489,Poland,6,Jacek GORALSKI,21.09.1992,MF,PFC Ludogorets Razgrad (BUL),3,70,5063,23.333333333333332,1687.6666666666667
490,Poland,7,Arkadiusz MILIK,28.02.1994,FW,Naples (ITA),2,40,1415,20.0,707.5
491,Poland,8,Karol LINETTY,02.02.1995,MF,Sampdoria (ITA),8,67,4761,8.375,595.125
492,Poland,9,Robert LEWANDOWSKI,21.08.1988,FW,Bayern München (GER),15,95,7808,6.333333333333333,520.5333333333333
493,Poland,10,Grzegorz KRYCHOWIAK,29.01.1990,MF,West Bromwich Albion FC (ENG),3,50,3014,16.666666666666668,1004.6666666666666
494,Poland,11,Kamil GROSICKI,08.06.1988,MF,Hull City (ENG),14,71,4392,5.071428571428571,313.7142857142857
495,Poland,12,Bartosz BIALKOWSKI,06.07.1987,GK,Ipswich Town (ENG),0,0,0,0,0
496,Poland,13,Maciej RYBUS,19.08.1989,MF,Lokomotiv Moskva (RUS),2,55,3882,27.5,1941.0
497,Poland,14,Lukasz TEODORCZYK,03.06.1991,FW,Anderlecht (BEL),9,93,6899,10.333333333333334,766.5555555555555
498,Poland,15,Kamil GLIK,03.02.1988,DF,AS Monaco (FRA),7,101,9060,14.428571428571429,1294.2857142857142
499,Poland,16,Jakub BLASZCZYKOWSKI,14.12.1985,MF,VfL Wolfsburg (GER),3,43,2574,14.333333333333334,858.0
500,Poland,17,Slawomir PESZKO,19.02.1985,MF,Lechia Gdansk (POL),15,55,4340,3.6666666666666665,289.3333333333333
501,Poland,18,Bartosz BERESZYNSKI,12.07.1992,DF,Sampdoria (ITA),5,66,5338,13.2,1067.6
502,Poland,19,Piotr ZIELINSKI,20.05.1994,MF,Naples (ITA),10,94,4884,9.4,488.4
503,Poland,20,Lukasz PISZCZEK,03.06.1985,DF,Borussia Dortmund (GER),11,70,5934,6.363636363636363,539.4545454545455
504,Poland,21,Rafal KURZAWA,29.01.1993,MF,Górnik Zabrze (POL),33,76,6789,2.303030303030303,205.72727272727272
505,Poland,22,Lukasz FABIANSKI,18.04.1985,GK,Swansea City (WAL),0,0,0,0,0
506,Poland,23,Dawid KOWNACKI,14.03.1997,FW,Sampdoria (ITA),6,57,2575,9.5,429.1666666666667
507,Portugal,1,RUI PATRICIO,15.02.1988,GK,Sporting CP (POR),0,0,0,0,0
508,Portugal,2,BRUNO ALVES,27.11.1981,DF,Rangers (SCO),1,62,5225,62.0,5225.0
509,Portugal,3,PEPE,26.02.1983,DF,Besiktas (TUR),2,53,4511,26.5,2255.5
510,Portugal,4,MANUEL FERNANDES,05.02.1986,MF,Lokomotiv Moskva (RUS),17,67,5727,3.9411764705882355,336.88235294117646
511,Portugal,5,RAPHAEL GUERREIRO,22.12.1993,DF,Borussia Dortmund (GER),10,50,3244,5.0,324.4
512,Portugal,6,JOSE FONTE,22.12.1983,DF,Dalian Yifang Football Club (CHN),1,50,4425,50.0,4425.0
513,Portugal,7,CRISTIANO RONALDO,05.02.1985,FW,Real Madrid (ESP),19,90,7804,4.7368421052631575,410.7368421052632
514,Portugal,8,JOAO MOUTINHO,08.09.1986,MF,AS Monaco (FRA),15,96,6807,6.4,453.8
515,Portugal,9,ANDRE SILVA,06.11.1995,FW,AC Milan (ITA),10,84,5424,8.4,542.4
516,Portugal,10,JOAO MARIO,19.01.1993,MF,West Ham United (ENG),14,62,3941,4.428571428571429,281.5
517,Portugal,11,BERNARDO SILVA,10.08.1994,MF,Manchester City (ENG),23,111,7091,4.826086956521739,308.30434782608694
518,Portugal,12,ANTHONY LOPES,01.10.1990,GK,Olympique Lyon (FRA),0,0,0,0,0
519,Portugal,13,RUBEN DIAS,14.05.1997,DF,Benfica (POR),2,66,5991,33.0,2995.5
520,Portugal,14,WILLIAM,07.04.1992,MF,Sporting CP (POR),6,81,6989,13.5,1164.8333333333333
521,Portugal,15,RICARDO,06.10.1993,DF,FC Porto (POR),11,73,6137,6.636363636363637,557.9090909090909
522,Portugal,16,BRUNO FERNANDES,08.09.1994,MF,Sporting CP (POR),23,91,6552,3.9565217391304346,284.8695652173913
523,Portugal,17,GONCALO GUEDES,29.11.1996,FW,Valencia CF (ESP),19,79,5010,4.157894736842105,263.6842105263158
524,Portugal,18,GELSON MARTINS,11.05.1995,FW,Sporting CP (POR),26,96,8010,3.6923076923076925,308.0769230769231
525,Portugal,19,MARIO RUI,27.05.1991,DF,Naples (ITA),4,40,3051,10.0,762.75
526,Portugal,20,RICARDO QUARESMA,26.09.1983,FW,Besiktas (TUR),29,82,6312,2.8275862068965516,217.6551724137931
527,Portugal,21,CEDRIC,31.08.1991,DF,Southampton (ENG),6,70,6037,11.666666666666666,1006.1666666666666
528,Portugal,22,BETO,01.05.1982,GK,Goztepespor (TUR),0,0,0,0,0
529,Portugal,23,ADRIEN SILVA,15.03.1989,MF,Leicester (ENG),6,58,4293,9.666666666666666,715.5
530,Russia,1,Igor AKINFEEV,08.04.1986,GK,CSKA Moskva (RUS),0,0,0,0,0
531,Russia,2,MARIO FERNANDES,19.09.1990,DF,CSKA Moskva (RUS),11,73,6368,6.636363636363637,578.9090909090909
532,Russia,3,Ilya KUTEPOV,29.07.1993,DF,Spartak Moskva (RUS),0,53,4579,0,0
533,Russia,4,Sergey IGNASHEVICH,14.07.1979,DF,CSKA Moskva (RUS),2,65,5345,32.5,2672.5
534,Russia,5,Andrey SEMENOV,24.03.1989,DF,an Football Club Akhmat Grozny (RUS),4,59,5231,14.75,1307.75
535,Russia,6,Denis CHERYSHEV,26.12.1990,MF,Villarreal CF (ESP),5,50,2044,10.0,408.8
536,Russia,7,Daler KUZIAEV,15.01.1993,MF,Zenit St. Petersburg (RUS),6,64,5243,10.666666666666666,873.8333333333334
537,Russia,8,Iury GAZINSKY,20.07.1989,MF,Krasnodar (RUS),6,75,5958,12.5,993.0
538,Russia,9,Alan DZAGOEV,17.06.1990,MF,CSKA Moskva (RUS),13,54,3963,4.153846153846154,304.84615384615387
539,Russia,10,Fedor SMOLOV,09.02.1990,FW,Krasnodar (RUS),7,55,4693,7.857142857142857,670.4285714285714
540,Russia,11,Roman ZOBNIN,11.02.1994,MF,Spartak Moskva (RUS),4,52,4158,13.0,1039.5
541,Russia,12,Andrei LUNEV,13.11.1991,GK,Zenit St. Petersburg (RUS),0,0,0,0,0
542,Russia,13,Fedor KUDRIASHOV,05.04.1987,DF,Rubin Kazan (RUS),1,64,5553,64.0,5553.0
543,Russia,14,Vladimir GRANAT,22.05.1987,DF,Rubin Kazan (RUS),1,58,5071,58.0,5071.0
544,Russia,15,Alexey MIRANCHUK,17.10.1995,MF,Lokomotiv Moskva (RUS),21,75,6504,3.5714285714285716,309.7142857142857
545,Russia,16,Anton MIRANCHUK,17.10.1995,MF,Lokomotiv Moskva (RUS),18,79,5696,4.388888888888889,316.44444444444446
546,Russia,17,Aleksandr GOLOVIN,30.05.1996,MF,CSKA Moskva (RUS),10,80,6685,8.0,668.5
547,Russia,18,Yury ZHIRKOV,20.08.1983,MF,Zenit St. Petersburg (RUS),5,54,3723,10.8,744.6
548,Russia,19,Alexander SAMEDOV,19.07.1984,MF,Spartak Moskva (RUS),3,55,3815,18.333333333333332,1271.6666666666667
549,Russia,20,Vladimir GABULOV,19.10.1983,GK,Club Brugge (BEL),0,0,0,0,0
550,Russia,21,Aleksandr EROKHIN,13.10.1989,MF,Zenit St. Petersburg (RUS),9,77,5936,8.555555555555555,659.5555555555555
551,Russia,22,Artem DZYUBA,22.08.1988,FW,Arsenal Tula (RUS),12,68,4803,5.666666666666667,400.25
552,Russia,23,Igor SMOLNIKOV,08.08.1988,DF,Zenit St. Petersburg (RUS),2,49,4172,24.5,2086.0
553,Saudi Arabia,1,ABDULLAH ALMUAIOUF,23.01.1987,GK,Al Hilal (KSA),0,0,0,0,0
554,Saudi Arabia,2,MANSOUR ALHARBI,19.10.1987,DF,Al Ahli (KSA),11,55,4120,5.0,374.54545454545456
555,Saudi Arabia,3,OSAMA HAWSAWI,31.03.1984,DF,Al Hilal (KSA),2,68,6058,34.0,3029.0
556,Saudi Arabia,4,ALI ALBULAYHI,21.11.1989,DF,Al Hilal (KSA),0,41,3690,0,0
557,Saudi Arabia,5,OMAR OTHMAN,27.09.1985,DF,Al Nasr (KSA),0,57,5010,0,0
558,Saudi Arabia,6,MOHAMMED ALBURAYK,15.09.1992,DF,Al Hilal (KSA),11,70,6018,6.363636363636363,547.0909090909091
559,Saudi Arabia,7,SALMAN ALFARAJ,01.08.1989,MF,Al Hilal (KSA),7,61,4826,8.714285714285714,689.4285714285714
560,Saudi Arabia,8,YAHIA ALSHEHRI,26.06.1990,MF,Leganes (ESP),14,51,3907,3.642857142857143,279.07142857142856
561,Saudi Arabia,9,HATAN BAHBIR,16.07.1992,MF,Al Shabab (KSA),5,41,2441,8.2,488.2
562,Saudi Arabia,10,MOHAMMED ALSAHLAWI,10.01.1987,FW,Al Nasr (KSA),4,51,3409,12.75,852.25
563,Saudi Arabia,11,ABDULMALEK ALKHAIBRI,13.03.1986,MF,Al Hilal (KSA),0,52,2977,0,0
564,Saudi Arabia,12,MOHAMED KANNO,22.09.1994,MF,Al Hilal (KSA),2,47,3001,23.5,1500.5
565,Saudi Arabia,13,YASSER ALSHAHRANI,25.05.1992,DF,Al Hilal (KSA),8,61,5374,7.625,671.75
566,Saudi Arabia,14,ABDULLAH OTAYF,03.08.1992,MF,Al Hilal (KSA),3,60,4152,20.0,1384.0
567,Saudi Arabia,15,ABDULLAH ALKHAIBARI,16.08.1996,MF,Al Shabab (KSA),0,20,1780,0,0
568,Saudi Arabia,16,HUSSAIN ALMOQAHWI,24.03.1988,MF,Al Ahli (KSA),8,77,4608,9.625,576.0
569,Saudi Arabia,17,TAISEER ALJASSAM,25.07.1984,MF,Al Ahli (KSA),9,61,4960,6.777777777777778,551.1111111111111
570,Saudi Arabia,18,SALEM ALDAWSARI,19.08.1991,MF,Villarreal CF (ESP),10,57,3958,5.7,395.8
571,Saudi Arabia,19,FAHAD ALMUWALLAD,14.09.1994,FW,Levante UD (ESP),8,41,3374,5.125,421.75
572,Saudi Arabia,20,MUHANNAD ASIRI,14.10.1986,FW,Al Ahli (KSA),3,48,2023,16.0,674.3333333333334
573,Saudi Arabia,21,YASSER ALMOSAILEM,27.02.1984,GK,Al Ahli (KSA),0,0,0,0,0
574,Saudi Arabia,22,MOHAMMED ALOWAIS,10.10.1991,GK,Al Ahli (KSA),0,0,0,0,0
575,Saudi Arabia,23,MOTAZ HAWSAWI,17.02.1992,DF,Al Ahli (KSA),2,63,5127,31.5,2563.5
576,Senegal,1,Abdoulaye DIALLO,30.03.1992,GK,Rennes (FRA),0,0,0,0,0
577,Senegal,2,Saliou CISS,15.06.1989,DF,Valenciennes (FRA),5,43,3456,8.6,691.2
578,Senegal,3,Kalidou KOULIBALY,20.06.1991,DF,Naples (ITA),1,83,7338,83.0,7338.0
579,Senegal,4,Kara MBODJI,22.11.1989,DF,Anderlecht (BEL),4,56,4932,14.0,1233.0
580,Senegal,5,Idrissa Gana GUEYE,26.09.1989,MF,Everton (ENG),3,73,5999,24.333333333333332,1999.6666666666667
581,Senegal,6,Salif SANE,25.08.1990,MF,Hannover 96 (GER),3,65,5602,21.666666666666668,1867.3333333333333
582,Senegal,7,Moussa SOW,19.01.1986,FW,Bursaspor (TUR),3,57,3734,19.0,1244.6666666666667
583,Senegal,8,Cheikhou KOUYATE,21.12.1989,MF,West Ham United (ENG),3,73,6256,24.333333333333332,2085.3333333333335
584,Senegal,9,Mame DIOUF,16.12.1987,FW,Stoke (ENG),5,66,4194,13.2,838.8
585,Senegal,10,Sadio MANE,10.04.1992,FW,Liverpool (ENG),17,73,5907,4.294117647058823,347.47058823529414
586,Senegal,11,Cheikh NDOYE,29.03.1986,MF,Birmingham City (ENG),7,77,5795,11.0,827.8571428571429
587,Senegal,12,Youssouf SABALY,05.03.1993,DF,Girondins Bordeaux (FRA),11,72,6145,6.545454545454546,558.6363636363636
588,Senegal,13,Alfred NDIAYE,06.03.1990,MF,Wolverhampton (ENG),3,67,3642,22.333333333333332,1214.0
589,Senegal,14,Moussa KONATE,03.04.1993,FW,Amiens (FRA),9,80,5886,8.88888888888889,654.0
590,Senegal,15,Diafra SAKHO,24.12.1989,FW,Rennes (FRA),1,35,1451,35.0,1451.0
591,Senegal,16,Khadim NDIAYE,05.04.1985,GK,Horoya Athlétique Club (GUI),0,0,0,0,0
592,Senegal,17,Pape Alioune NDIAYE,27.10.1990,MF,Stoke (ENG),7,72,6258,10.285714285714286,894.0
593,Senegal,18,Ismaila SARR,25.02.1998,FW,Rennes (FRA),10,60,4089,6.0,408.9
594,Senegal,19,Mbaye NIANG,19.12.1994,FW,Torino (ITA),8,65,4302,8.125,537.75
595,Senegal,20,Keita BALDE,08.03.1995,FW,AS Monaco (FRA),17,67,4081,3.9411764705882355,240.05882352941177
596,Senegal,21,Lamine GASSAMA,20.10.1989,DF,Adanaspor (TUR),2,62,5355,31.0,2677.5
597,Senegal,22,Moussa WAGUE,04.10.1998,DF,Eupen (BEL),4,43,3272,10.75,818.0
598,Senegal,23,Alfred GOMIS,05.09.1993,GK,ITA (ITA),0,0,0,0,0
599,Serbia,1,Vladimir STOJKOVIC,28.07.1983,GK,Partizan Beograd (SRB),0,0,0,0,0
600,Serbia,2,Antonio RUKAVINA,26.01.1984,DF,Villarreal CF (ESP),1,36,2890,36.0,2890.0
601,Serbia,3,Dusko TOSIC,19.01.1985,DF,Besiktas (TUR),3,76,6557,25.333333333333332,2185.6666666666665
602,Serbia,4,Luka MILIVOJEVIC,07.04.1991,MF,Crystal Palace (ENG),3,77,6676,25.666666666666668,2225.3333333333335
603,Serbia,5,Uros SPAJIC,13.02.1993,DF,Anderlecht (BEL),3,75,6328,25.0,2109.3333333333335
604,Serbia,6,Branislav IVANOVIC,22.02.1984,DF,Zenit St. Petersburg (RUS),4,65,4990,16.25,1247.5
605,Serbia,7,Andrija ZIVKOVIC,11.07.1996,MF,Benfica (POR),17,54,3646,3.176470588235294,214.47058823529412
606,Serbia,8,Aleksandar PRIJOVIC,21.04.1990,FW,PAOK (GRE),12,84,5434,7.0,452.8333333333333
607,Serbia,9,Aleksandar MITROVIC,16.09.1994,FW,Fulham (ENG),7,56,3259,8.0,465.57142857142856
608,Serbia,10,Dusan TADIC,20.11.1988,MF,Southampton (ENG),12,85,6297,7.083333333333333,524.75
609,Serbia,11,Aleksandar KOLAROV,10.11.1985,DF,AS Roma (ITA),17,87,7621,5.117647058823529,448.29411764705884
610,Serbia,12,Predrag RAJKOVIC,31.10.1995,GK,Maccabi Tel Aviv (ISR),0,0,0,0,0
611,Serbia,13,Milos VELJKOVIC,26.09.1995,DF,Werder Bremen (GER),0,63,5124,0,0
612,Serbia,14,Milan RODIC,02.04.1991,DF,Crvena Zvezda (SRB),3,57,4645,19.0,1548.3333333333333
613,Serbia,15,Nikola MILENKOVIC,12.10.1997,DF,Fiorentina (ITA),1,57,4975,57.0,4975.0
614,Serbia,16,Marko GRUJIC,13.04.1996,MF,Cardiff City (WAL),3,37,2136,12.333333333333334,712.0
615,Serbia,17,Filip KOSTIC,01.11.1992,MF,Hamburger SV (GER),6,65,5215,10.833333333333334,869.1666666666666
616,Serbia,18,Nemanja RADONJIC,15.02.1996,FW,Crvena Zvezda (SRB),7,60,3316,8.571428571428571,473.7142857142857
617,Serbia,19,Luka JOVIC,23.12.1997,FW,Eintracht Frankfurt (GER),3,40,1906,13.333333333333334,635.3333333333334
618,Serbia,20,Sergej MILINKOVIC-SAVIC,27.02.1995,MF,Lazio (ITA),19,87,6881,4.578947368421052,362.1578947368421
619,Serbia,21,Nemanja MATIC,01.08.1988,MF,Manchester United (ENG),11,89,7303,8.090909090909092,663.9090909090909
620,Serbia,22,Adem LJAJIC,29.09.1991,MF,Torino (ITA),24,64,5008,2.6666666666666665,208.66666666666666
621,Serbia,23,Marko DMITROVIC,24.01.1992,GK,Eibar (ESP),0,0,0,0,0
622,Spain,1,David DE GEA,07.11.1990,GK,Manchester United (ENG),0,0,0,0,0
623,Spain,2,Dani CARVAJAL,11.01.1992,DF,Real Madrid (ESP),19,82,7022,4.315789473684211,369.57894736842104
624,Spain,3,Gerard PIQUE,02.02.1987,DF,FC Barcelona (ESP),0,90,7708,0,0
625,Spain,4,NACHO,18.01.1990,DF,Real Madrid (ESP),4,81,6479,20.25,1619.75
626,Spain,5,Sergio BUSQUETS,16.07.1988,MF,FC Barcelona (ESP),8,98,8092,12.25,1011.5
627,Spain,6,Andres INIESTA,11.05.1984,MF,FC Barcelona (ESP),10,81,5179,8.1,517.9
628,Spain,7,SAUL,21.11.1994,MF,Atlético Madrid (ESP),9,109,8764,12.11111111111111,973.7777777777778
629,Spain,8,KOKE,08.01.1992,MF,Atlético Madrid (ESP),17,105,8787,6.176470588235294,516.8823529411765
630,Spain,9,RODRIGO,06.03.1991,FW,Valencia CF (ESP),12,65,4582,5.416666666666667,381.8333333333333
631,Spain,10,THIAGO,11.04.1991,MF,Bayern München (GER),13,73,5626,5.615384615384615,432.7692307692308
632,Spain,11,Lucas VAZQUEZ,01.07.1991,FW,Real Madrid (ESP),30,103,5091,3.433333333333333,169.7
633,Spain,12,Alvaro ODRIOZOLA,14.12.1995,DF,Real Sociedad (ESP),12,75,6287,6.25,523.9166666666666
634,Spain,13,Kepa ARRIZABALAGA,03.10.1994,GK,Athletic Club (ESP),0,0,0,0,0
635,Spain,14,Cesar AZPILICUETA,28.08.1989,DF,Chelsea (ENG),14,99,8853,7.071428571428571,632.3571428571429
636,Spain,15,Sergio RAMOS,30.03.1986,DF,Real Madrid (ESP),3,86,7719,28.666666666666668,2573.0
637,Spain,16,Nacho MONREAL,26.02.1986,DF,Arsenal (ENG),5,81,6889,16.2,1377.8
638,Spain,17,Iago ASPAS,01.08.1987,FW,Celta (ESP),13,86,6699,6.615384615384615,515.3076923076923
639,Spain,18,Jordi ALBA,21.03.1989,DF,FC Barcelona (ESP),18,87,6971,4.833333333333333,387.27777777777777
640,Spain,19,Diego COSTA,07.10.1988,FW,Atlético Madrid (ESP),14,65,5105,4.642857142857143,364.64285714285717
641,Spain,20,Marco ASENSIO,21.01.1996,MF,Real Madrid (ESP),10,91,4782,9.1,478.2
642,Spain,21,David SILVA,08.01.1986,FW,Manchester City (ENG),25,85,6844,3.4,273.76
643,Spain,22,ISCO,21.04.1992,MF,Real Madrid (ESP),20,91,5296,4.55,264.8
644,Spain,23,Pepe REINA,31.08.1982,GK,Naples (ITA),0,0,0,0,0
645,Sweden,1,Robin OLSEN,08.01.1990,GK,FC København (DEN),0,0,0,0,0
646,Sweden,2,Mikael LUSTIG,13.12.1986,DF,Celtic (SCO),9,96,8120,10.666666666666666,902.2222222222222
647,Sweden,3,Victor LINDELOF,17.07.1994,DF,Manchester United (ENG),0,76,6451,0,0
648,Sweden,4,Andreas GRANQVIST,16.04.1985,DF,Krasnodar (RUS),6,76,6871,12.666666666666666,1145.1666666666667
649,Sweden,5,Martin OLSSON,17.05.1988,DF,Swansea City (WAL),1,78,6392,78.0,6392.0
650,Sweden,6,Ludwig AUGUSTINSSON,21.04.1994,DF,Werder Bremen (GER),19,83,7296,4.368421052631579,384.0
651,Sweden,7,Sebastian LARSSON,06.06.1985,MF,Hull City (ENG),7,65,5069,9.285714285714286,724.1428571428571
652,Sweden,8,Albin EKDAL,28.07.1989,MF,Hamburger SV (GER),2,42,2531,21.0,1265.5
653,Sweden,9,Marcus BERG,17.08.1986,FW,Al Ain (UAE),21,75,6356,3.5714285714285716,302.6666666666667
